Identifier	Character	Dialogue	Filename	Line Number
start_f152289c	m	Every day, in every way I am getting sexier and sexier.	game/script.rpy	335
start_ce169b33	m	Wow, my body feels numb and heavy now.	game/script.rpy	336
start_7b640f8e	m	Am I floating? Crap! Where am I?	game/script.rpy	339
start_4e032b82		He can walk on the fresh clean river; he can fly as high as the automobiles.	game/script.rpy	340
start_56527f2d		He, himself, is the limit of the experience.	game/script.rpy	341
start_84b8266e		He flies to the clouds, without knowing what is up there.	game/script.rpy	342
start_6977c67f	m	What is that noise? It sounds like singing.	game/script.rpy	343
start_f55ac08e		“ Sanctus Espiritus! Sanctus Espiritus!”	game/script.rpy	347
start_8f2156ac		There are beautiful angels from an immense kingdom and the moon is gone.	game/script.rpy	348
start_4e35d43d		The violet and cloudless sky flies over him.	game/script.rpy	349
start_345f6f21		All he can see is the choir of angels and… 	game/script.rpy	350
start_92ee73c3	m	“Is that fire?”	game/script.rpy	353
start_4e32b506		The fire gains strength from the song.	game/script.rpy	354
start_42391253		“Sanctus Espiritus! Sanctus Espiritus! Sanctus Espiritus!”	game/script.rpy	355
start_e382b4a9		The fire spreads around the kingdom, making a perfect pentagram.	game/script.rpy	356
start_58778256		Marcus flies over the angels and attempts to see what is happening in the fiery pentagram.	game/script.rpy	357
start_e4316c14		Horror strikes his poor heart; he can feel his heartbeat pumping more and more	game/script.rpy	358
start_41ae3019	m	“I should leave, but why does my heart feel like it will fly out my chest?”	game/script.rpy	359
start_b854f067	m	“Who’s that? I like his wavy hair, but he should stay away from the fire.”	game/script.rpy	362
start_da2e0ac5		The young man appears from the fiery pentagram as he it was its source.	game/script.rpy	363
start_45eabb43		The man stares at Marcus; through the young man’s glasses, he can see nothing but holiness and cleanliness of The Spirit.	game/script.rpy	364
start_9854ab06		Marcus becomes paralyzed by the look of his eyes.	game/script.rpy	365
start_3cb8906a		Marcus, now hovering over the angels’ choir in a heavenly body within the sky, attempts to think about his body at the apartment with Alexis, just as the young man walks to him… 	game/script.rpy	366
start_28fa1859	a	“MARCUS!”	game/script.rpy	368
start_d1641470	m	“WHAAAA— What do you want?”	game/script.rpy	370
start_af231322	a	“Finally, you’re awake. Its 8:00 AM.”	game/script.rpy	371
start_5185c011	m	“Crap, forget about breakfast; we have to go!”	game/script.rpy	373
start_270482ea		After school, at the immense campus of their high school…The sun rises, over the beautiful river.	game/script.rpy	375
start_c45f0674		The city is shiny, sleek, and eco-friendly.	game/script.rpy	376
start_edf18292		The mild wind passes by, almost relaxing except— 	game/script.rpy	377
start_6bb72bf7	a	“For the love of my day, please shut up Marcus.”	game/script.rpy	380
start_182d4142	m	“How come you cannot understand that was frightening.	game/script.rpy	381
start_e4413fe7	m	Sanctus Espiritus! Sanctus Espiritus!”	game/script.rpy	383
start_37567e9d	a	“Look, I have to say. ‘It was just a dream.’”	game/script.rpy	384
start_908336f4	m	“What do you call a dream, when you are aware that you’re dreaming?”	game/script.rpy	385
start_f633724a		Alexis and Marcus walk from campus, arguing about the dream. They continue walking up to the people mover; while there Marcus looks at his high school from above. 	game/script.rpy	386
start_09e8a8e0		The school is big as a university, holding only a max population of three thousand students.	game/script.rpy	388
start_aab56bc7		The people mover stops around M. L. King Boulevard; they walk off seeing their high school from the sidewalk below. A thousand feet below their feet.	game/script.rpy	389
start_a15e78dd	a	“Wow, our school looks awesome from the geofront,”	game/script.rpy	390
start_9b009a72	m	“I wonder how our rival’s school looks like, although they are in the aquafront.”	game/script.rpy	391
start_b522d69d		Marcus’s curiosity bugs him throughout the walk back home. The surface sky is a clear blue, a lot better than the geofront.	game/script.rpy	392
start_a3d20c76		The sounds of flying 2-person self driving automobiles, fueled by clean renewable energy.	game/script.rpy	393
start_0318365c		The din of the city is low, as usual. Nevertheless, something feels quite off.	game/script.rpy	394
start_057c43bb	m	Who’s that?	game/script.rpy	400
start_76800b2e		There is a young man on the glass sidewalk against the aerospace building in downtown. Marcus walks to him and drops his book bag worriedly.	game/script.rpy	402
start_88bda44c		“Hello, what are you doing here?”	game/script.rpy	403
start_2b4a91c3		The young man on the glass sidewalk questions Marcus.	game/script.rpy	404
start_5b2af5b2	m	“Are you okay?	game/script.rpy	406
start_f1d9865d	m	You were just sleeping there on the sidewalk I assumed that you needed help?”	game/script.rpy	408
start_e37f851e		“No, thanks for it anyway—	game/script.rpy	409
start_cd5cb182	m	“Sorry.”	game/script.rpy	410
start_2099b825		Marcus now feeling put off by the young man’s last statement.	game/script.rpy	411
start_6d4f8a79		“You’re blocking the sun, God’s gift to man”	game/script.rpy	412
start_408b9050		“God?” Marcus and Alexis simultaneously.	game/script.rpy	413
start_eccdaf47		“Yes, God, our Heavenly Father, the creator of all that is and will be.”	game/script.rpy	419
start_d3b65e22		The young man stands up from the glass sidewalk with absolute dignity, wearing a black tie with a silky smooth shirt.	game/script.rpy	425
start_64aec3f6		Marcus and Alexis remain perplexed.	game/script.rpy	426
start_d8189191		The suit he is wearing is clean as his black shoes, for an African American he is quite light skinned and has wavy hair	game/script.rpy	427
start_28fa0aa7		“My name is Zion, and I am a missionary of our Heavenly Father.”	game/script.rpy	428
start_253369a2	m	He cannot be.... he looks like the guy from... the dream.	game/script.rpy	430
start_17867216	m	I can feel something. His eyes.... 	game/script.rpy	432
start_50830bd6		Marcus skin begins to crawl as he looks at Zion in the eyes.	game/script.rpy	433
start_2f526154	z	“What are your names?”	game/script.rpy	434
start_fd121dd7	a	“My name is Alexis Jackson, and this nutcase friend of mine is Marcus Webster.	game/script.rpy	435
start_53baa285	a	So, what were you talking about, God? He created all that is?”	game/script.rpy	436
start_6ec9911e	z	“In a sense, yes… I can substantiate my claim.”	game/script.rpy	437
start_5fa64006		Zion confidently brings out a dense old book from his black book bag.	game/script.rpy	438
start_fc61fb17		Alexis holds the book, eyeing at it from all sides. She gives Marcus the book; he reads the introduction.	game/script.rpy	439
start_01b61b8a	m	“What am I reading?”	game/script.rpy	440
start_4a72eb8c	z	“My scriptures.”	game/script.rpy	441
start_340eb769	z	“May I read the beginning of everything for you two?”	game/script.rpy	442
start_c2d34a45	a	“Sure.”	game/script.rpy	443
start_e3662767		The trio walks to Marcus’s apartment a little way off from the aquafront. Zion begins to illustrate creation itself.	game/script.rpy	444
start_39e0fef7	z	“In the beginning there was darkness, a void if you would imagine. Then God expanded his awareness 360 degrees.”	game/script.rpy	449
start_f77be8f1	a	“Zion, why did God do that?”	game/script.rpy	450
start_c8a48497	z	“Well…In physics, a void is basically no matter, therefore no energy.”	game/script.rpy	451
start_b632ee5a	z	“At the edge of His awareness, He spoke 'Let there be light!'”	game/script.rpy	453
start_5fabd252	a	“I am assuming that is where length, width, proportion, and depth were created.”	game/script.rpy	454
start_5386d441	m	“All I see is the Venn diagram, but call it whatever you like.”	game/script.rpy	455
start_1d363509	z	“The next day of creation, you have the Tripod of Life aka Borromean Rings. However, I like to call it the Holy Trinity. God created a firmament between the waters. Above it was called sky and below the oceans.”	game/script.rpy	456
start_d5b6fcd0	m	Is he serious?	game/script.rpy	458
start_7de4b990	m	I cannot tell if he is just trolling us or he actually believes in the crap he says.	game/script.rpy	460
start_01999ee2	z	“God puts lights in the firmament, to separate light from darkness and to mark days, seasons and years.”	game/script.rpy	461
start_d2ce28ee	a	“Interesting, I have learned that this is not a textbook, however a narrative.”	game/script.rpy	462
start_976cb116	m	A presumptuously sketchy narrative at best. I wonder what Alexis is thinking regarding all of this.	game/script.rpy	464
start_71e221d2	z	“One half of all of creation is completed.”	game/script.rpy	465
start_41735564	z	“God called the dry land Earth; and the gathering together of the waters called the Seas: and God saw that it was good.”	game/script.rpy	466
start_328926a1	z	“Moreover, God said, let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in it, upon the earth: and it was so.”	game/script.rpy	467
start_70ac4570	z	“And the earth brought forth grass and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in it, after his kind: and God saw that it was good.”	game/script.rpy	468
start_21c8507c	a	I do not know what to think about this. This is not how the Earth formed at all.	game/script.rpy	469
start_ba11fba3	m	For a homeless bum, why is he so clean?	game/script.rpy	470
start_cadb1892	m	Better yet, how is he so clean?	game/script.rpy	471
start_dc470ada	z	“God later created two lights in the sky; one is the moon to rule the stars. The other is the Sun to rule the day.”	game/script.rpy	472
start_11061e00		Zion summarizes as they walk down to the apartment.	game/script.rpy	473
start_714e6785	a	“God created the sun, moon, and the stars after all the plants?”	game/script.rpy	474
start_ca43183c	m	Huh... never thought about that.	game/script.rpy	476
start_38d72377	m	Go Alexis! Default skepticism at work.	game/script.rpy	478
start_743f1846	z	Yes he did.	game/script.rpy	479
start_1764d78c		Before Alexis counters Zion, Marcus pats her back.	game/script.rpy	480
start_a49570ad	m	There is a time and place for everything, especially argumentation.	game/script.rpy	482
start_3e64ae50	z	“What does you guys think? Heavenly Father said it; therefore, it is so.”	game/script.rpy	484
start_de08c4b2	a	“Home sweet home, guys”	game/script.rpy	487
start_0d81ce6d	z	“Woah, your place is fancy.”	game/script.rpy	488
start_d94d4d7b	z	“The apartment complex rotates?”	game/script.rpy	489
start_25bb5a9a	m	“Indeed, at 30 degrees per hour.”	game/script.rpy	490
start_e89b702e		Zion just stands all amazed at the apartment complex.	game/script.rpy	491
start_e7973deb	m	“Zion come in, already.”	game/script.rpy	492
start_6f6d7c9e	z	“Oh okay Marcus!”	game/script.rpy	493
start_9a60c6f4		The trio enters the building.	game/script.rpy	494
start_567e22b7	m	“This is where I live, over there is the MT”	game/script.rpy	499
start_ef7cb092	z	“So what is a MT?”	game/script.rpy	500
start_7b4d5104	a	“Stands for Matter Transporter”	game/script.rpy	501
start_178e5ceb	a	He's never heard of a MT before?	game/script.rpy	502
start_e1247395	a	Where is this guy from?	game/script.rpy	503
start_12475619		Zion slowly walks in one of the spots. Marcus and Alexis set the coordinates. The universe around Zion feels void, as he sees parts of his body fade away.	game/script.rpy	504
start_223f8487	z	“Why am I disintegrating? I feel sick... ”	game/script.rpy	505
start_a5f48666	m	“Relax!	game/script.rpy	507
start_d5c1ecff	m	It's science, we’re going to be safe.”	game/script.rpy	509
start_25419e0d	m	For a homeless person, he is quite sheltered....	game/script.rpy	510
start_5689fdf2		The trio dematerializes atom by atom, at the speed of light.	game/script.rpy	512
start_709367e1		Zion opens his eyes and looks the same as if nothing happened.	game/script.rpy	513
start_fa8cb232		They are in a stylish red hallway; Marcus finds his apartment 2 doors down from the MT, and there is a pad next to the door.	game/script.rpy	514
start_cfad4314		Marcus touches the pad and the door opens soundlessly.	game/script.rpy	515
start_a0546d1b	m	“Now let us get to the meaning of this meeting.”	game/script.rpy	518
start_b5ba6659	m	“Alexis, is that your music playing?”	game/script.rpy	520
start_8ab710e1	a	“I like it”	game/script.rpy	521
start_ac4ed6ec	a	“It’s a lot better than that stupid rap song.”	game/script.rpy	522
start_4f39115a	m	“Hey that rap song is awesome.”	game/script.rpy	523
start_709dda22	z	“What rap song?”	game/script.rpy	525
start_388f4e7b	a	“No Zion!”	game/script.rpy	526
start_95bbd244	m	“Computer, give me a beat.”	game/script.rpy	534
start_f5aefa0e	m	“I was getting my report card the other day and noticed something...”	game/script.rpy	540
start_f5e95289	m	“'Look at all those B’s on my report card' I said to myself.”	game/script.rpy	542
start_70344c16	m	“'This ain't right' I said.”	game/script.rpy	543
start_4728771d	m	“I walked into his little office after school and told them to...”	game/script.rpy	545
start_4c599678	m	  “THROW SOME A's ON IT!”	game/script.rpy	561
start_399e9756	m	“THROW SOME A's ON THAT REPORT CARD!”	game/script.rpy	564
start_6e898437	m	  “Honor Roll niggas”	game/script.rpy	574
start_797997be		Marcus runs around	game/script.rpy	597
start_f0a744f0	m	  “THROW SOME A's ON IT!”	game/script.rpy	599
start_acad2d5a	m	  “THROW SOME A's ON THAT REPORT CARD!”	game/script.rpy	601
start_c1e05f38	m	  “Valedictorian and salutatorian niggas here in dis club”	game/script.rpy	603
start_4e79abc3		Zion just stands there dumbfounded and Alexis facepalms herself.	game/script.rpy	604
start_f9e17aa6	m	  “THROW SOME A's ON IT”	game/script.rpy	606
start_7e34b50f	m	  “THROW SOME A's ON THAT REPORT CARD”	game/script.rpy	608
start_ea087d1b	m	“Welcome to the Ivy League suckers!”	game/script.rpy	610
start_de61a402	a	“Computer, stop music.”	game/script.rpy	618
start_75ee0c97	m	“Hey! Don't ruin the fun Alexis”	game/script.rpy	625
start_f5392c73	a	“Why Marcus? Why?	game/script.rpy	628
start_fb4e7b8d	a	Can't you see that he is NOT having fun?”	game/script.rpy	629
start_e532a4cf	a	“Zion, I apologize for his actions; I surely hope you are not surely offended.”	game/script.rpy	630
start_abb5f484	z	“I forgive you”	game/script.rpy	631
start_22c1323f	m	“Skip you both!	game/script.rpy	632
start_b09e6654	m	Yall know that rap was awesome.”	game/script.rpy	633
start_4482bbcd		Alexis rolls her eyes	game/script.rpy	634
start_1cd99e1e	a	“Marcus, would it kill you to act as if you have some rationality, Mr. Philosopher!”	game/script.rpy	635
start_d1ecf53e	m	“Why don't you go comb a hairy ball, Alexis?”	game/script.rpy	636
start_0260270d		 4:15 PM	game/script.rpy	637
start_e8cec375	z	“Marcus you have a lovely apartment here.”	game/script.rpy	638
start_eeda4c40	m	“Thanks Zion, at least someone appreciates my style and décor.”	game/script.rpy	641
start_12466122		Alexis rolls her eyes yet again.	game/script.rpy	642
start_f304618b	a	“Zion, where did you come from?	game/script.rpy	646
start_fa9a238e	a	Let me play something relaxing.”	game/script.rpy	647
start_a86dc4b6	z	Well, that’s what I am trying to find out. I like how this sounds.”	game/script.rpy	649
start_579f8c79	a	“That just means that you have a good taste in music. Hehehehe“	game/script.rpy	650
start_2734dfdd		Marcus tilts his head in curiosity.	game/script.rpy	651
start_4f943f94	m	“What's your last name?”	game/script.rpy	652
start_c06804f9	m	This song does sound good.	game/script.rpy	653
start_e205e896	z	“Ummm....err.... I do not know... ”	game/script.rpy	654
start_2441b1b2	a	“Excuse me, do you suffer from amnesia?”	game/script.rpy	657
start_710e349d	z	“All I remember is waking up in a pod next to this bag I have with me today. My companion was nothing more than just a skeleton	game/script.rpy	659
start_18a732ed		Zion opens the bag and it contains a golden box. Marcus and Alexis survey the box.	game/script.rpy	664
start_f47fd189	a	“Do you know how to open the box?”	game/script.rpy	665
start_56d0792d	z	“Nope, but I see a mini microphone on the side of it.”	game/script.rpy	666
start_7716666c	m	“Oh, Zion you will have to say something to open it.”	game/script.rpy	667
start_2fe40724	a	“What a deep philosophical insight.”	game/script.rpy	670
start_8343e1f4	m	“Oh shut up, woman.”	game/script.rpy	671
start_140f3ce2	z	“Unless I remember the password, I do not think I will be able to open it.”	game/script.rpy	672
start_42a43ac2	a	“Anyway Zion, what do you plan on doing here?”	game/script.rpy	676
start_d3f0457d	z	“Honestly, I want to spread the word of Christ and His teachings unto all men and women worthy.”	game/script.rpy	677
start_df978572		Marcus begins to whisper to Alexis and walks her to the window.	game/script.rpy	683
start_45cd1a26	m	“What do you think Christ is?”	game/script.rpy	684
start_816121d9	a	“You are the philosopher.	game/script.rpy	685
start_693dba17	a	Do you know of any religious teachings?”	game/script.rpy	686
start_1eddd897	m	“Alexis, I do not even know what religious means.”	game/script.rpy	687
start_e0a3f2ef	z	“What are you two talking about over there?”	game/script.rpy	689
start_075cdd0a	m	“Hey, Zion did you know that these three windows are not actual windows?”	game/script.rpy	694
start_82eb3df5	z	“Really Marcus?”	game/script.rpy	695
start_13801549	m	“The one on the right is the game console.	game/script.rpy	696
start_e7520830	m	The middle is the 4D television and finally on the left is my computer screen.”	game/script.rpy	697
start_c9b09ad4	z	“That’s amazing, how do they work?”	game/script.rpy	698
start_30917e7e	m	“Just touch it.”	game/script.rpy	699
start_55562bb2	a	“We should get on your computer Marcus.”	game/script.rpy	700
start_59ee8fa3	z	“Good Idea. There could be scriptures on the internet you guys can learn.”	game/script.rpy	701
start_01986ac8	m	Oh crap, I think I am starting to remember something.... But what was it?	game/script.rpy	704
start_7212bebe	m	“I am not sure about that—	game/script.rpy	705
start_c47cb00c		Marcus mutters nervously; Alexis rush to the computer and wake it up.	game/script.rpy	706
start_1f47a799		Zion gasps and his heart skip a beat, the world of holiness that Zion has begins to dim.	game/script.rpy	709
start_9b254841		 The sun sets marking dusk, Marcus freezes in his place.	game/script.rpy	710
start_a13e6df0		 Alexis is simply disappointed at him, there is a dead horrifying silence between the trio.	game/script.rpy	711
start_b70b89d0	z	“...”	game/script.rpy	712
start_7fd98dc8	a	“...”	game/script.rpy	714
start_b623b4a8	m	“...”	game/script.rpy	717
start_e7ee2ce6		The large screen displays a paused lascivious video. Alexis turns to Marcus and shakes her head in his immense fail.	game/script.rpy	719
start_9728c655	a	“Marcus...  tell me why?”	game/script.rpy	724
start_2b14236a	m	“Ok, ok, Alexis... 	game/script.rpy	726
start_0b262b81	m	I forgot.”	game/script.rpy	727
start_1a743525		The tension between Marcus and Alexis is enough for Zion to—	game/script.rpy	728
start_6d51b0a1	z	“I believe I should leave, thanks for having me over.”	game/script.rpy	729
start_6a2be9c7	a	“Zion. Marcus did not mean to offend you in any kind of way.	game/script.rpy	730
start_fea6446c	a	Maybe it is my fault for actually meeting in this ratchet place.”	game/script.rpy	731
start_da4cfa4b	z	“Well… I guess I can stay, however please turn off the computer.”	game/script.rpy	732
start_2c642b70	m	“Computer off.”	game/script.rpy	733
start_e5ff0a6a	z	I cannot feel the Holy Ghost at this moment. This is not a good sign. Am I choosing the right?	game/script.rpy	734
start_0c644665		Marcus pulls the shades over the windows. Alexis and Zion stay in the living room until he returns. 	game/script.rpy	735
start_294b7ebe	z	However, they seem to be good people. If I turn my back now, how will they come unto Christ?	game/script.rpy	736
start_bcd3d6dd	m	“For the last time Alexis, I forgot.	game/script.rpy	737
start_6a434969	m	If I knew that Zion was coming, the computer would have been off already.”	game/script.rpy	738
start_54ae2deb	a	Sigh...“How do you forget such a thing?	game/script.rpy	739
start_243c01d3	a	I mean really....Really... and it was your idea to bring him to the computer in the first place!”	game/script.rpy	740
start_f4c95c76	z	Oh I have an idea!	game/script.rpy	741
start_2e578719	z	“Alexis, can you turn on the computer? I want to play a song.”	game/script.rpy	742
start_c2d34a45_1	a	“Sure.”	game/script.rpy	743
start_de0afe6b	m	“...Alexis...”	game/script.rpy	744
start_a3445410	a	“Computer on. I hope you find something good on the internet.”	game/script.rpy	745
start_ea747593	z	“Oh I will.” If I can remember, it should be on this website.... oh wait... hmmm.	game/script.rpy	746
start_dfacf3d7	m	“Are you willing to cut me some slack?”	game/script.rpy	747
start_fa4748b4	a	“It's a miracle that he is staying. At the very least, you should cook something.”	game/script.rpy	748
start_4bcf693b	m	She's right. That was irresponsible on my part.	game/script.rpy	749
start_e56c11c8	m	“Okay, I am going to cook him something right now for dinner .”	game/script.rpy	750
start_16e894a9	a	“Thank you for understanding me.”	game/script.rpy	754
start_7d06383f	a	Sometimes, I wonder why in the world am I still living with this guy.	game/script.rpy	755
start_4991f3c9	a	I cannot wait till I move out with my boo.	game/script.rpy	756
start_544fdf0c	m	“What is he playing?”	game/script.rpy	758
start_a1864dc4	m	I do not feel too well right now.	game/script.rpy	759
start_72f5799c	a	“Zion? I see you found something....”	game/script.rpy	762
start_5d36b711	a	My legs feel weak.... 	game/script.rpy	763
start_839bd769	a	I do not think I can...	game/script.rpy	764
start_b4f7bb83	z	  “I am a child of god and he has sent me here, has given me an earthy home with parents kind and dear. Lead me, guide me, and walk beside me. Help me find the way. Teach me all that I must do to live with him someday.”	game/script.rpy	769
start_88a4f43d	z	 “I am a child of God, and so my needs are great. Help me to understand his words before it grows to late. Lead me, guide me, and walk beside me. Help me find the way. Teach me all that I must do to live with him someday.”	game/script.rpy	772
start_ff4c2c38	a	Why does my heart ache so much?	game/script.rpy	777
start_894909ed	a	My body feels heavy.	game/script.rpy	778
start_41a7b9bf	a	I can barely get up.	game/script.rpy	779
start_9749d384	m	“Alexis. Are you alright?”	game/script.rpy	783
start_70880550	m	Owww. I walk over to her on the floor with my apron on.	game/script.rpy	784
start_7f56b087	m	The water begins to boil.	game/script.rpy	785
start_995bc23e	z	 “I am a child of God. if I but learn to do his will, I'll live with him once more. Lead me, guide me, and walk beside me. Help me find the way. Teach me all that I must do to live with him someday.”	game/script.rpy	788
start_ba6c7c66	a	What is this song?	game/script.rpy	799
start_505f9850	a	“I am fine Marcus,	game/script.rpy	800
start_04c392c1	a	but you should be more concerned with owwww.... my heart burns like fire..”	game/script.rpy	801
start_d63cbf93	m	I got her.	game/script.rpy	802
start_fe488cf2	m	“Here, I am going to pick you up and put you in my reclining chair.”	game/script.rpy	803
start_43821e53	m	I can barely walk with this seething pain in my heart.	game/script.rpy	804
start_1cc6b177	z	 “I am a child of God. His promises are sure. Celestial glory shall be mine if I can but endure. Lead me, guide me, and walk beside me. Help me find the way. Teach me all that I must do to live with him someday.”	game/script.rpy	807
start_beb60592	m	Is the song over?	game/script.rpy	809
start_3fb8018e	a	Why was I in so much pain just now...?	game/script.rpy	810
start_bd33da81		Marcus walks back to the kitchen to pour some macaroni into the boiling pot. He puts the lid on the pot and grabs some cheese from the fridge.	game/script.rpy	811
start_e1234ab3	z	I feel so much better right now. I can feel the spirit now.	game/script.rpy	812
start_bcabb6fb	m	Crap, I am all out of cheese. Think of something, me.	game/script.rpy	815
start_abdcf49d	a	“Why are you serving the Lord?	game/script.rpy	820
start_a1867b1f	a	Let me put on another song.”	game/script.rpy	821
start_ce149f7e	z	“It's my duty and it's my way of paying Him back?”	game/script.rpy	823
start_b15f34c4	a	“It's a guy? The Lord is a man?”	game/script.rpy	824
start_6a8273b0	z	“Yes, He created us in His image.”	game/script.rpy	825
start_6da14736	a	“Really? Why would He do that?”	game/script.rpy	826
start_842824b9	z	“Because, He loves us so very much.”	game/script.rpy	827
start_db37b873	a	“No, I mean why would He have an human appearance.	game/script.rpy	828
start_5e953ca7	a	If He could be anything, why be human?	game/script.rpy	829
start_d3331739	a	What makes the Homo Sapiens species so ideal for a Lord?”	game/script.rpy	830
start_fb85f738	z	“I do not know Alexis.”	game/script.rpy	831
start_5bd7fd73	m	Okay, I pour some water into another pot while the marconi gets softer.	game/script.rpy	835
start_4d55b31f	m	Time to grab some carrots and potatoes.	game/script.rpy	836
start_958db543	m	Shoot, I might as well grab some onion. 	game/script.rpy	838
start_219afec2	m	I boil all three of these bad boys right now with some sea salt.	game/script.rpy	839
start_e5dfe155	a	“What do you know?”	game/script.rpy	841
start_3f46e3ce	z	“That I have to continue my mission to serve for the Lord, and that everyone is a child of God.”	game/script.rpy	842
start_bba4bf82	a	“We are children of this Lord?”	game/script.rpy	844
start_c674482f	z	“We all are. You just don't know how much the Lord loves you, and that's why I am here.”	game/script.rpy	845
start_27229828	z	“There are no coincidences. It's all part of His plan.”	game/script.rpy	846
start_e375968d	m	I take out the potatoes, onions, and carrots from the pot.	game/script.rpy	850
start_c51e0bb9	m	I throw them into my blender along with some paprika, a cap full of lemon juice, and a half cup of raw cashews.	game/script.rpy	851
start_c94f1fad	m	Coconut milk? Why not?	game/script.rpy	853
start_9cc254c8	m	I finally have a use for these nutritional yeast flakes Cheyenne gave me.	game/script.rpy	854
start_12ee4f2a	m	Throw them all into the blender!	game/script.rpy	855
start_dbcad2e3	a	“Huh... I never met a religious person before.”	game/script.rpy	859
start_78601fa7	z	“Hehehe...wait,  what?”	game/script.rpy	860
start_7eabce87	a	“Yeah I never met a religious person before.”	game/script.rpy	861
start_5baba1fc	z	“How is that possible? Granted I have not seen any churches or any places of worship since I arrived into this city six months ago.” This is really bizarre.	game/script.rpy	862
start_b33e8163	a	“I am not entirely sure as to what you're getting at with this Lord.	game/script.rpy	863
start_09ef82fa	a	What do you want from Marcus and.... Marcus turn that damn blender off!”	game/script.rpy	864
start_0702ddf7	a	“Marcus turn that damn blender off! I can barely hear him.”	game/script.rpy	867
start_2aff37a7	m	She does not have to yell.	game/script.rpy	872
start_ad340b99	m	“Don't make me drop this apron and smack the asian out of you. ”	game/script.rpy	875
start_67f67d45	m	I drain the macaroni and pour the stuff from the blender.	game/script.rpy	876
start_a376e341	m	It looks like cheese... so yeah..	game/script.rpy	877
start_f6a74fb4	a	This fool must be insane.	game/script.rpy	880
start_bc919e69	a	“You would hate it if I came in the kitchen right now.”	game/script.rpy	881
start_bc10ffdc	m	“Shut up and eat!”	game/script.rpy	883
start_3d877306	m	I hand her and Zion a bowl.	game/script.rpy	884
start_7d9b14b5	a	“Oh”	game/script.rpy	890
start_2054a002	a	What did he make?	game/script.rpy	891
start_7ff771c5	a	This does NOT look like mac and cheese. But whatever, I am hungry. 	game/script.rpy	892
start_982a45ff	z	“Thanks Marcus. ” Mmm. This smells wonderful. However, I do not think this how mac and chesse is supposed to smell.	game/script.rpy	893
start_6a846b49	a	“This is not mac and chesse.”	game/script.rpy	894
start_8894d6b7	m	“Well, yeah, I did not buy any cheese.	game/script.rpy	895
start_000e102d	m	Do you feel accomplished for pointing out that fact?”	game/script.rpy	896
start_cd6424e8	z	I kneel down.	game/script.rpy	897
start_bacd7aea	z	Dear most gracious Heavenly Father, thank you for the opportunity to be with Alexis and Marcus. Thank you for food that will nourish our bodies and minds. In the name of Jesus Christ, amen.	game/script.rpy	907
start_45308fe2	a	I look at Zion arising from the floor. “What were you doing?”	game/script.rpy	909
start_70b3787d	z	“I was praying,”	game/script.rpy	910
start_f09dfc41	m	“What's praying?”	game/script.rpy	911
start_119a7e05	z	“It's when you communicate to Heavenly Father directly.”	game/script.rpy	912
start_b6ef0ccb	a	“What were you discussing with the Lord?”	game/script.rpy	913
start_0a5dc8f5	z	“I was thanking him for the food.”	game/script.rpy	914
start_27c7225e	m	Crap, I almost choked on my food.	game/script.rpy	920
